,Jac_modA,Jac_modB,Jac_modC,Jac_ensamble,DSC_modA,DSC_modB,DSC_modC,DSC_ensamble,placa
266.png,0.3429,0.44,0.44,0.44,0.5106,0.6111,0.6111,0.6111,1
65.png,0.5774,0.493,0.493,0.493,0.732,0.6604,0.6604,0.6604,1
39.png,0.2078,0.2175,0.2175,0.2175,0.3441,0.3573,0.3573,0.3573,1
284.png,0.2455,0.2793,0.2793,0.2793,0.3942,0.4366,0.4366,0.4366,1
75.png,0.4012,0.3594,0.3594,0.3594,0.5726,0.5288,0.5288,0.5288,1
283.png,0.3782,0.4186,0.4186,0.4186,0.5489,0.5901,0.5901,0.5901,1
40.png,0.7076,0.4969,0.4969,0.4969,0.8287,0.6639,0.6639,0.6639,1
295.png,0.6853,0.5934,0.5934,0.5934,0.8132,0.7448,0.7448,0.7448,1
81.png,0.5722,0.3975,0.3975,0.3975,0.7279,0.5688,0.5688,0.5688,1
60.png,0.2834,0.198,0.198,0.198,0.4416,0.3305,0.3305,0.3305,1
48.png,0.5237,0.4947,0.4947,0.4947,0.6874,0.662,0.662,0.662,1
280.png,0.6122,0.524,0.524,0.524,0.7594,0.6876,0.6876,0.6876,1
270.png,0.215,0.2203,0.2203,0.2203,0.3538,0.3611,0.3611,0.3611,1
6.png,0.394,0.2947,0.2947,0.2947,0.5652,0.4552,0.4552,0.4552,1
70.png,0.3438,0.3275,0.3275,0.3275,0.5117,0.4934,0.4934,0.4934,1
89.png,0.5286,0.5063,0.5063,0.5063,0.6916,0.6722,0.6722,0.6722,1
54.png,0.6091,0.555,0.555,0.555,0.7571,0.7138,0.7138,0.7138,1
298.png,0.6081,0.4332,0.4332,0.4332,0.7563,0.6045,0.6045,0.6045,1
73.png,0.6223,0.5592,0.5592,0.5592,0.7672,0.7173,0.7173,0.7173,1
291.png,0.644,0.657,0.657,0.657,0.7835,0.793,0.793,0.793,1
269.png,0.5538,0.5426,0.5426,0.5426,0.7128,0.7035,0.7035,0.7035,1
29.png,0.287,0.2574,0.2574,0.2574,0.446,0.4094,0.4094,0.4094,1
281.png,0.3601,0.3781,0.3781,0.3781,0.5295,0.5487,0.5487,0.5487,1
82.png,0.8418,0.6727,0.6727,0.6727,0.9141,0.8043,0.8043,0.8043,1
66.png,0.759,0.5819,0.5819,0.5819,0.863,0.7357,0.7357,0.7357,1
33.png,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,1
50.png,0.1609,0.1611,0.1611,0.1611,0.2772,0.2775,0.2775,0.2775,1
52.png,0.383,0.284,0.284,0.284,0.5538,0.4423,0.4423,0.4423,1
85.png,0.3035,0.3396,0.3396,0.3396,0.4657,0.507,0.507,0.507,1
271.png,0.5894,0.5421,0.5421,0.5421,0.7417,0.7031,0.7031,0.7031,1
4.png,0.6129,0.4331,0.4331,0.4331,0.76,0.6044,0.6044,0.6044,1
263.png,0.4928,0.4275,0.4275,0.4275,0.6602,0.5989,0.5989,0.5989,1
299.png,0.6389,0.5282,0.5282,0.5282,0.7797,0.6912,0.6912,0.6912,1
274.png,0.5766,0.5112,0.5112,0.5112,0.7315,0.6765,0.6765,0.6765,1
31.png,0.4578,0.4898,0.4898,0.4898,0.628,0.6575,0.6575,0.6575,1
61.png,0.3304,0.268,0.268,0.268,0.4966,0.4227,0.4227,0.4227,1
38.png,0.1844,0.208,0.208,0.208,0.3114,0.3443,0.3443,0.3443,1
36.png,0.234,0.2394,0.2394,0.2394,0.3792,0.3863,0.3863,0.3863,1
292.png,0.5721,0.5739,0.5739,0.5739,0.7278,0.7293,0.7293,0.7293,1
90.png,0.3319,0.2448,0.2448,0.2448,0.4984,0.3933,0.3933,0.3933,1
49.png,0.5406,0.4879,0.4879,0.4879,0.7018,0.6558,0.6558,0.6558,1
297.png,0.4307,0.367,0.367,0.367,0.602,0.5369,0.5369,0.5369,1
77.png,0.4214,0.3628,0.3628,0.3628,0.5929,0.5324,0.5324,0.5324,1
74.png,0.3255,0.2551,0.2551,0.2551,0.4911,0.4065,0.4065,0.4065,1
