,Jac_modA,Jac_modB,Jac_modC,Jac_ensamble,DSC_modA,DSC_modB,DSC_modC,DSC_ensamble,placa
138.png,0.7447,0.6143,0.6143,0.6143,0.8537,0.761,0.761,0.761,1
118.png,0.6483,0.5471,0.5471,0.5471,0.7866,0.7072,0.7072,0.7072,1
136.png,0.3699,0.294,0.294,0.294,0.54,0.4544,0.4544,0.4544,1
210.png,0.4871,0.221,0.221,0.221,0.6548,0.3618,0.3618,0.3618,1
168.png,0.138,0.1938,0.1938,0.1938,0.2425,0.3247,0.3247,0.3247,1
131.png,0.0002,0.019,0.019,0.019,0.0002,0.0372,0.0372,0.0372,1
18.png,0.1033,0.1201,0.1201,0.1201,0.1873,0.2144,0.2144,0.2144,1
24.png,0.4602,0.3014,0.3014,0.3014,0.6303,0.4631,0.4631,0.4631,1
164.png,0.3319,0.2622,0.2622,0.2622,0.4984,0.4155,0.4155,0.4155,1
170.png,0.4469,0.4504,0.4504,0.4504,0.6178,0.6211,0.6211,0.6211,1
245.png,0.5205,0.4897,0.4897,0.4897,0.6846,0.6575,0.6575,0.6575,1
189.png,0.6641,0.6747,0.6747,0.6747,0.7982,0.8058,0.8058,0.8058,1
232.png,0.4924,0.4829,0.4829,0.4829,0.6599,0.6513,0.6513,0.6513,1
240.png,0.4149,0.4366,0.4366,0.4366,0.5865,0.6079,0.6079,0.6079,1
121.png,0.668,0.5755,0.5755,0.5755,0.801,0.7306,0.7306,0.7306,1
115.png,0.2743,0.195,0.195,0.195,0.4304,0.3264,0.3264,0.3264,1
255.png,0.3941,0.3741,0.3741,0.3741,0.5654,0.5445,0.5445,0.5445,1
236.png,0.7626,0.5879,0.5879,0.5879,0.8653,0.7404,0.7404,0.7404,1
157.png,0.4069,0.343,0.343,0.343,0.5784,0.5108,0.5108,0.5108,1
149.png,0.6397,0.5785,0.5785,0.5785,0.7803,0.733,0.733,0.733,1
160.png,0.8196,0.5097,0.5097,0.5097,0.9009,0.6752,0.6752,0.6752,1
