,Jac_modA,Jac_modB,Jac_modC,Jac_ensamble,DSC_modA,DSC_modB,DSC_modC,DSC_ensamble,placa
31.png,0.4578,0.5656,0.4389,0.602,0.628,0.7225,0.61,0.7515,1
61.png,0.3304,0.79,0.7744,0.7915,0.4966,0.8827,0.8729,0.8836,1
38.png,0.1844,0.8962,0.128,0.2114,0.3114,0.9453,0.227,0.3489,1
36.png,0.234,0.0234,0.6809,0.2432,0.3792,0.0456,0.8102,0.3912,1
292.png,0.5721,0.692,0.7556,0.6925,0.7278,0.818,0.8608,0.8183,1
90.png,0.3319,0.8238,0.8681,0.8396,0.4984,0.9034,0.9294,0.9128,1
49.png,0.5406,0.8266,0.7074,0.7722,0.7018,0.9051,0.8286,0.8715,1
297.png,0.4307,0.3477,0.7296,0.6633,0.602,0.5159,0.8436,0.7975,1
77.png,0.4214,0.7994,0.4067,0.5698,0.5929,0.8885,0.5782,0.7259,1
74.png,0.3255,0.8425,0.7308,0.6977,0.4911,0.9145,0.8444,0.8219,1
278.png,0.6323,0.8577,0.7802,0.8154,0.7748,0.9234,0.8765,0.8983,1
34.png,0.3115,0.5082,0.4299,0.5233,0.4749,0.6739,0.6013,0.687,1
46.png,0.6249,0.8997,0.9112,0.9096,0.7691,0.9472,0.9535,0.9526,1
64.png,0.6068,0.2297,0.7981,0.5962,0.7553,0.3735,0.8877,0.747,1
41.png,0.0005,0.7106,0.8649,0.7106,0.0005,0.8308,0.9275,0.8308,1
279.png,0.7161,0.8532,0.8822,0.9084,0.8346,0.9208,0.9374,0.952,1
258.png,0.6951,0.8777,0.8378,0.8777,0.8201,0.9348,0.9118,0.9349,1
262.png,0.5893,0.7726,0.4586,0.7284,0.7416,0.8717,0.6287,0.8428,1
62.png,0.5082,0.8112,0.8155,0.8257,0.6739,0.8958,0.8983,0.9045,1
264.png,0.4362,0.8017,0.0281,0.4329,0.6074,0.8899,0.0546,0.6041,1
